Timestamp,SO2_PPM
2025-03-13 02:27:19,0.03
2025-03-13 02:27:26,0.03
2025-03-13 02:27:33,0.03
2025-03-13 02:27:40,0.03
2025-03-13 02:27:47,0.03
2025-03-13 02:27:54,0.02
2025-03-13 02:28:01,0.03
2025-03-13 02:28:08,0.03
2025-03-13 02:28:15,0.03
2025-03-13 02:28:22,0.03
2025-03-13 02:28:29,0.03
2025-03-13 02:28:36,0.03
2025-03-13 02:28:43,0.03
2025-03-13 02:28:50,0.03
2025-03-13 02:28:57,0.03
2025-03-13 02:29:04,0.03
2025-03-13 02:29:12,0.03
2025-03-13 02:29:19,0.03
2025-03-13 02:29:26,0.01
2025-03-13 02:29:33,0.03
2025-03-13 02:29:40,0.03
2025-03-13 02:29:47,0.03
2025-03-13 02:29:54,0.03
2025-03-13 02:30:01,0.03
2025-03-13 02:30:08,0.03
2025-03-13 02:30:14,0.03
2025-03-13 02:30:21,0.03
2025-03-13 02:30:28,0.03
2025-03-13 02:30:35,0.03
2025-03-13 02:30:43,0.03
2025-03-13 02:30:49,0.03
2025-03-13 02:30:56,0.88
2025-03-13 02:31:03,0.04
2025-03-13 02:31:10,inf
2025-03-13 02:31:17,0.39
2025-03-13 02:31:25,0.00
2025-03-13 02:31:32,inf
2025-03-13 02:31:39,0.02
2025-03-13 02:31:46,0.03
2025-03-13 02:31:53,0.02
2025-03-13 02:32:00,0.01
2025-03-13 02:32:07,0.00
2025-03-13 02:32:14,0.10
2025-03-13 02:32:21,0.00
2025-03-13 02:32:28,nan
2025-03-13 02:32:35,0.11
2025-03-13 02:32:42,0.02
2025-03-13 02:32:49,0.03
2025-03-13 02:32:56,0.03
2025-03-13 02:33:03,0.03
2025-03-13 02:33:10,0.03
2025-03-13 02:33:17,0.03
2025-03-13 02:33:24,0.03
2025-03-13 02:33:31,0.03
2025-03-13 02:33:38,0.03
2025-03-13 02:33:45,0.03
2025-03-13 02:33:52,0.03
2025-03-13 02:33:59,0.03
2025-03-13 02:34:06,0.03
2025-03-13 02:34:13,0.03
2025-03-13 02:34:20,0.03
2025-03-13 02:34:27,0.03
2025-03-13 02:34:34,0.03
2025-03-13 02:34:41,0.03
2025-03-13 02:34:48,0.03
2025-03-13 02:34:55,0.03
2025-03-13 02:35:02,0.03
2025-03-13 02:35:09,0.03
2025-03-13 02:35:16,0.03
2025-03-13 02:35:23,0.03
2025-03-13 02:35:30,0.03
2025-03-13 02:35:37,0.03
2025-03-13 02:35:44,0.03
2025-03-13 02:35:51,0.03
2025-03-13 02:35:58,0.03
2025-03-13 02:36:05,0.03
2025-03-13 02:36:12,0.03
2025-03-13 02:36:19,0.03
2025-03-13 02:36:26,0.03
2025-03-13 02:36:33,0.03
2025-03-13 02:36:40,0.03
2025-03-13 02:36:47,0.03
2025-03-13 02:36:54,0.03
2025-03-13 02:37:01,0.03
2025-03-13 02:37:08,0.03
2025-03-13 02:37:15,0.01
2025-03-13 02:37:22,0.03
2025-03-13 02:37:29,0.03
2025-03-13 02:37:36,0.03
2025-03-13 02:37:43,0.03
2025-03-13 02:37:50,0.03
